ticket_id,booking_id,payment_id,ticket_status,ticket_issued_time,ticketing_error_code,ticketing_delay_minutes
TKT000000119,BKG000000119,PAY000000119,issued,2014-07-16 00:23:20,NONE,25.0
TKT000000120,BKG000000120,PAY000000120,issued,2014-09-12 21:48:17,NONE,33.0
TKT000000121,BKG000000121,PAY000000121,issued,2014-03-23 16:02:59,NONE,30.0
TKT000000122,BKG000000122,PAY000000122,issued,2014-12-30 17:51:36,NONE,28.0
TKT000000123,BKG000000123,PAY000000123,issued,2013-10-26 18:40:39,NONE,20.0
TKT000000124,BKG000000124,PAY000000124,issued,2014-09-21 16:08:27,NONE,23.0
TKT000000125,BKG000000125,PAY000000125,issued,2014-10-31 12:12:56,NONE,21.0
TKT000000126,BKG000000126,PAY000000126,issued,2014-08-21 01:02:40,NONE,29.0
TKT000000127,BKG000000127,PAY000000127,issued,2014-08-29 12:09:56,NONE,20.0
TKT000000128,BKG000000128,PAY000000128,issued,2014-08-25 15:09:19,NONE,1122.0
TKT000000129,BKG000000129,PAY000000129,issued,2014-06-02 10:26:26,NONE,4.0
TKT000000130,BKG000000130,PAY000000130,issued,2013-11-04 07:59:27,NONE,33.0
TKT000000131,BKG000000131,PAY000000131,issued,2014-07-26 09:32:36,NONE,4.0
TKT000000132,BKG000000132,PAY000000132,issued,2013-09-06 01:00:32,NONE,17.0
TKT000000133,BKG000000133,PAY000000133,issued,2013-05-30 17:47:58,NONE,21.0
TKT000000134,BKG000000134,PAY000000134,issued,2014-09-01 12:31:53,NONE,27.0
TKT000000135,BKG000000135,PAY000000135,issued,2014-04-15 10:17:41,NONE,35.0
TKT000000136,BKG000000136,PAY000000136,not_issued_payment_failed,,NONE,
TKT000000137,BKG000000137,PAY000000137,issued,2013-01-12 18:53:13,NONE,33.0
TKT000000138,BKG000000138,PAY000000138,issued,2014-11-27 00:21:49,NONE,41.0
TKT000000139,BKG000000139,PAY000000139,issued,2014-09-16 15:29:51,NONE,45.0
TKT000000140,BKG000000140,PAY000000140,issued,2014-08-03 21:31:41,NONE,25.0
TKT000000141,BKG000000141,PAY000000141,issued,2013-03-19 02:44:37,NONE,6.0
TKT000000142,BKG000000142,PAY000000142,issued,2014-11-05 18:35:02,NONE,12.0
TKT000000143,BKG000000143,PAY000000143,issued,2014-09-01 21:15:36,NONE,20.0
TKT000000144,BKG000000144,PAY000000144,issued,2014-08-25 13:33:07,NONE,28.0
TKT000000145,BKG000000145,PAY000000145,issued,2014-02-18 11:40:34,NONE,3.0
TKT000000146,BKG000000146,PAY000000146,issued,2014-10-22 15:38:27,NONE,42.0
TKT000000147,BKG000000147,PAY000000147,issued,2013-08-12 17:43:23,NONE,11.0
TKT000000148,BKG000000148,PAY000000148,issued,2014-09-05 02:05:35,NONE,21.0
TKT000000149,BKG000000149,PAY000000149,issued,2014-08-31 02:11:45,NONE,482.0
TKT000000150,BKG000000150,PAY000000150,pending,2013-06-25 17:39:24,INVENTORY_MISMATCH,40.0
TKT000000151,BKG000000151,PAY000000151,issued,2013-02-24 08:29:39,NONE,8.0
TKT000000152,BKG000000152,PAY000000152,issued,2014-11-18 17:48:24,NONE,4.0
TKT000000153,BKG000000153,PAY000000153,issued,2014-01-16 07:42:47,NONE,14.0
TKT000000154,BKG000000154,PAY000000154,issued,2014-10-06 10:21:45,NONE,1287.0
TKT000000155,BKG000000155,PAY000000155,issued,2014-11-26 16:13:12,NONE,6.0
TKT000000156,BKG000000156,PAY000000156,issued,2014-10-13 12:48:24,NONE,23.0
TKT000000157,BKG000000157,PAY000000157,issued,2014-09-13 03:44:25,NONE,15.0
TKT000000158,BKG000000158,PAY000000158,issued,2013-09-10 18:23:45,NONE,832.0
TKT000000159,BKG000000159,PAY000000159,issued,2014-04-07 01:59:14,NONE,6.0
TKT000000160,BKG000000160,PAY000000160,issued,2014-05-15 20:15:35,NONE,11.0
TKT000000161,BKG000000161,PAY000000161,issued,2014-12-16 18:56:51,NONE,17.0
TKT000000162,BKG000000162,PAY000000162,issued,2013-01-29 17:00:48,NONE,5.0
TKT000000163,BKG000000163,PAY000000163,issued,2013-02-01 11:42:20,NONE,4.0
TKT000000164,BKG000000164,PAY000000164,issued,2014-05-27 09:17:13,NONE,23.0
TKT000000165,BKG000000165,PAY000000165,issued,2013-06-29 13:30:45,NONE,30.0
TKT000000166,BKG000000166,PAY000000166,issued,2014-03-31 23:54:46,NONE,485.0
TKT000000167,BKG000000167,PAY000000167,issued,2014-06-21 19:54:18,NONE,27.0
TKT000000168,BKG000000168,PAY000000168,issued,2014-02-16 16:22:23,NONE,5.0
TKT000000169,BKG000000169,PAY000000169,issued,2014-06-27 14:46:15,NONE,975.0
TKT000000170,BKG000000170,PAY000000170,issued,2014-08-06 15:08:55,NONE,41.0
TKT000000171,BKG000000171,PAY000000171,issued,2013-09-30 10:02:39,NONE,27.0
TKT000000172,BKG000000172,PAY000000172,issued,2014-08-04 21:25:06,NONE,44.0
TKT000000173,BKG000000173,PAY000000173,issued,2014-01-16 17:59:01,NONE,21.0
TKT000000174,BKG000000174,PAY000000174,issued,2014-12-09 12:56:34,NONE,14.0
TKT000000175,BKG000000175,PAY000000175,issued,2013-10-10 13:26:27,NONE,34.0
TKT000000176,BKG000000176,PAY000000176,issued,2013-11-01 06:00:40,NONE,859.0
TKT000000177,BKG000000177,PAY000000177,issued,2014-03-13 21:48:25,NONE,33.0
TKT000000178,BKG000000178,PAY000000178,issued,2014-02-24 12:39:20,NONE,560.0
TKT000000179,BKG000000179,PAY000000179,issued,2014-09-18 10:13:10,NONE,11.0
TKT000000180,BKG000000180,PAY000000180,issued,2013-04-14 19:04:57,NONE,326.0
TKT000000181,BKG000000181,PAY000000181,issued,2014-08-30 01:02:55,NONE,12.0
TKT000000182,BKG000000182,PAY000000182,issued,2014-04-07 16:39:14,NONE,38.0
TKT000000183,BKG000000183,PAY000000183,issued,2014-10-17 14:26:37,NONE,42.0
TKT000000184,BKG000000184,PAY000000184,issued,2014-06-06 18:33:26,NONE,28.0
TKT000000185,BKG000000185,PAY000000185,issued,2013-11-02 10:34:48,NONE,24.0
TKT000000186,BKG000000186,PAY000000186,issued,2014-02-15 12:25:57,NONE,22.0
TKT000000187,BKG000000187,PAY000000187,issued,2013-01-15 01:53:34,NONE,10.0
TKT000000188,BKG000000188,PAY000000188,issued,2014-12-02 22:09:42,NONE,27.0
TKT000000189,BKG000000189,PAY000000189,issued,2014-11-10 17:43:17,NONE,8.0
TKT000000190,BKG000000190,PAY000000190,issued,2013-06-23 11:46:19,NONE,20.0
TKT000000191,BKG000000191,PAY000000191,issued,2014-09-09 11:13:16,NONE,45.0
TKT000000192,BKG000000192,PAY000000192,issued,2014-11-29 11:36:40,NONE,6.0
TKT000000193,BKG000000193,PAY000000193,issued,2013-08-21 22:37:12,NONE,24.0
TKT000000194,BKG000000194,PAY000000194,issued,2013-05-09 15:06:02,NONE,22.0
TKT000000195,BKG000000195,PAY000000195,issued,2014-10-13 14:43:53,NONE,9.0
TKT000000196,BKG000000196,PAY000000196,issued,2014-12-06 02:14:31,NONE,28.0
TKT000000197,BKG000000197,PAY000000197,issued,2013-06-05 16:55:32,NONE,35.0
TKT000000198,BKG000000198,PAY000000198,issued,2013-04-29 08:53:03,NONE,22.0
TKT000000199,BKG000000199,PAY000000199,issued,2013-06-11 15:57:02,NONE,17.0
TKT000000200,BKG000000200,PAY000000200,issued,2013-04-14 21:19:58,NONE,39.0
TKT000000201,BKG000000201,PAY000000201,issued,2014-12-30 14:11:10,NONE,25.0
TKT000000202,BKG000000202,PAY000000202,issued,2014-08-07 15:45:58,NONE,17.0
TKT000000203,BKG000000203,PAY000000203,issued,2013-08-02 15:38:25,NONE,21.0
TKT000000204,BKG000000204,PAY000000204,issued,2014-05-02 08:41:39,NONE,6.0
TKT000000205,BKG000000205,PAY000000205,issued,2013-07-29 11:29:38,NONE,13.0
TKT000000206,BKG000000206,PAY000000206,issued,2014-05-27 23:32:13,NONE,13.0
TKT000000207,BKG000000207,PAY000000207,issued,2014-07-22 16:03:04,NONE,4.0
TKT000000208,BKG000000208,PAY000000208,issued,2014-11-26 02:11:06,NONE,20.0
TKT000000209,BKG000000209,PAY000000209,issued,2014-10-05 13:07:16,NONE,18.0
TKT000000210,BKG000000210,PAY000000210,issued,2013-03-31 18:25:36,NONE,19.0
TKT000000211,BKG000000211,PAY000000211,issued,2014-07-29 19:00:49,NONE,30.0
TKT000000212,BKG000000212,PAY000000212,issued,2014-09-27 00:09:06,NONE,32.0
TKT000000213,BKG000000213,PAY000000213,issued,2013-11-10 13:49:40,NONE,28.0
TKT000000214,BKG000000214,PAY000000214,issued,2014-10-20 17:16:10,NONE,34.0
TKT000000215,BKG000000215,PAY000000215,issued,2014-05-17 00:15:41,NONE,13.0
TKT000000216,BKG000000216,PAY000000216,pending,2014-05-02 00:13:56,SUPPLIER_ERROR,29.0
TKT000000217,BKG000000217,PAY000000217,issued,2013-06-25 07:09:39,NONE,15.0
TKT000000218,BKG000000218,PAY000000218,issued,2013-11-21 18:22:36,NONE,43.0
TKT000000219,BKG000000219,PAY000000219,issued,2014-07-25 05:23:48,NONE,24.0
TKT000000220,BKG000000220,PAY000000220,issued,2014-10-09 21:13:41,NONE,30.0
TKT000000221,BKG000000221,PAY000000221,issued,2013-09-05 11:00:24,NONE,9.0
TKT000000222,BKG000000222,PAY000000222,issued,2014-12-30 14:57:04,NONE,8.0
TKT000000223,BKG000000223,PAY000000223,issued,2013-06-28 21:08:08,NONE,20.0
TKT000000224,BKG000000224,PAY000000224,issued,2014-10-12 04:38:10,NONE,11.0
TKT000000225,BKG000000225,PAY000000225,issued,2014-08-22 14:32:48,NONE,37.0
TKT000000226,BKG000000226,PAY000000226,not_issued_payment_failed,,NONE,
TKT000000227,BKG000000227,PAY000000227,issued,2013-07-22 15:14:47,NONE,25.0
TKT000000228,BKG000000228,PAY000000228,issued,2013-02-14 23:42:15,NONE,320.0
TKT000000229,BKG000000229,PAY000000229,issued,2013-09-09 18:44:45,NONE,31.0
TKT000000230,BKG000000230,PAY000000230,issued,2014-07-14 16:43:33,NONE,21.0
TKT000000231,BKG000000231,PAY000000231,issued,2014-12-03 19:37:32,NONE,15.0
TKT000000232,BKG000000232,PAY000000232,issued,2014-03-20 20:55:48,NONE,125.0
TKT000000233,BKG000000233,PAY000000233,failed,2013-11-12 21:52:02,TICKETING_TIMEOUT,12.0
TKT000000234,BKG000000234,PAY000000234,issued,2014-01-31 14:19:56,NONE,24.0
TKT000000235,BKG000000235,PAY000000235,issued,2014-03-21 16:09:03,NONE,19.0
TKT000000236,BKG000000236,PAY000000236,issued,2014-12-23 17:40:54,NONE,44.0
TKT000000237,BKG000000237,PAY000000237,issued,2014-04-19 20:08:48,NONE,36.0
TKT000000238,BKG000000238,PAY000000238,issued,2013-11-18 10:32:30,NONE,32.0
TKT000000239,BKG000000239,PAY000000239,issued,2013-11-18 10:56:30,NONE,10.0
TKT000000240,BKG000000240,PAY000000240,issued,2013-08-15 17:35:47,NONE,6.0
TKT000000241,BKG000000241,PAY000000241,issued,2014-05-06 08:12:57,NONE,848.0
TKT000000242,BKG000000242,PAY000000242,issued,2014-08-31 01:20:19,NONE,31.0
TKT000000243,BKG000000243,PAY000000243,issued,2013-03-12 09:46:55,NONE,28.0
TKT000000244,BKG000000244,PAY000000244,issued,2014-03-05 15:04:39,NONE,21.0
TKT000000245,BKG000000245,PAY000000245,issued,2014-04-30 17:28:56,NONE,9.0
TKT000000246,BKG000000246,PAY000000246,not_issued_payment_failed,,NONE,
TKT000000247,BKG000000247,PAY000000247,issued,2013-09-12 11:26:26,NONE,17.0
TKT000000248,BKG000000248,PAY000000248,not_issued_payment_failed,,NONE,
TKT000000249,BKG000000249,PAY000000249,issued,2013-07-20 20:45:27,NONE,42.0
TKT000000250,BKG000000250,PAY000000250,issued,2014-11-23 19:05:49,NONE,6.0
TKT000000251,BKG000000251,PAY000000251,issued,2013-12-13 11:05:15,NONE,29.0
TKT000000252,BKG000000252,PAY000000252,issued,2013-09-19 20:39:01,NONE,32.0
TKT000000253,BKG000000253,PAY000000253,issued,2014-05-15 23:15:25,NONE,41.0
TKT000000254,BKG000000254,PAY000000254,not_issued_payment_failed,,NONE,
TKT000000255,BKG000000255,PAY000000255,issued,2013-06-15 16:02:12,NONE,18.0
TKT000000256,BKG000000256,PAY000000256,issued,2014-03-28 13:28:58,NONE,5.0
TKT000000257,BKG000000257,PAY000000257,issued,2014-09-24 23:57:19,NONE,7.0
TKT000000258,BKG000000258,PAY000000258,issued,2014-05-26 11:57:22,NONE,27.0
TKT000000259,BKG000000259,PAY000000259,issued,2014-10-02 14:53:05,NONE,41.0
TKT000000260,BKG000000260,PAY000000260,failed,2013-04-26 01:13:49,AIRLINE_CONFIRMATION_FAILED,40.0
TKT000000261,BKG000000261,PAY000000261,issued,2014-08-28 18:29:23,NONE,14.0
TKT000000262,BKG000000262,PAY000000262,issued,2013-01-21 12:17:54,NONE,39.0
TKT000000263,BKG000000263,PAY000000263,issued,2013-09-24 22:15:46,NONE,24.0
TKT000000264,BKG000000264,PAY000000264,not_issued_payment_failed,,NONE,
TKT000000265,BKG000000265,PAY000000265,issued,2013-11-04 14:03:41,NONE,5.0
TKT000000266,BKG000000266,PAY000000266,issued,2013-10-26 16:26:18,NONE,32.0
TKT000000267,BKG000000267,PAY000000267,issued,2014-04-09 16:39:19,NONE,22.0
TKT000000268,BKG000000268,PAY000000268,issued,2014-07-06 03:08:49,NONE,216.0
TKT000000269,BKG000000269,PAY000000269,issued,2013-12-18 03:28:29,NONE,19.0
TKT000000270,BKG000000270,PAY000000270,issued,2013-07-30 16:12:29,NONE,32.0
TKT000000271,BKG000000271,PAY000000271,issued,2013-08-23 19:24:43,NONE,9.0
TKT000000272,BKG000000272,PAY000000272,issued,2014-11-23 23:17:43,NONE,30.0
TKT000000273,BKG000000273,PAY000000273,issued,2014-08-11 23:27:38,NONE,9.0
TKT000000274,BKG000000274,PAY000000274,issued,2013-12-16 12:47:54,NONE,35.0
TKT000000275,BKG000000275,PAY000000275,issued,2013-07-20 16:12:24,NONE,34.0
TKT000000276,BKG000000276,PAY000000276,issued,2013-08-03 19:13:15,NONE,20.0
TKT000000277,BKG000000277,PAY000000277,issued,2014-03-07 08:59:48,NONE,5.0
TKT000000278,BKG000000278,PAY000000278,issued,2013-03-27 03:04:47,NONE,17.0
TKT000000279,BKG000000279,PAY000000279,issued,2014-01-10 02:50:30,NONE,45.0
TKT000000280,BKG000000280,PAY000000280,issued,2013-05-27 14:32:31,NONE,45.0
TKT000000281,BKG000000281,PAY000000281,not_issued_payment_failed,,NONE,
TKT000000282,BKG000000282,PAY000000282,issued,2014-08-26 09:44:28,NONE,21.0
TKT000000283,BKG000000283,PAY000000283,issued,2013-05-01 19:51:22,NONE,10.0
TKT000000284,BKG000000284,PAY000000284,issued,2014-04-13 02:29:33,NONE,34.0
TKT000000285,BKG000000285,PAY000000285,issued,2014-11-12 10:15:54,NONE,732.0
TKT000000286,BKG000000286,PAY000000286,issued,2014-12-10 19:46:14,NONE,45.0
TKT000000287,BKG000000287,PAY000000287,issued,2014-12-18 14:35:18,NONE,36.0
TKT000000288,BKG000000288,PAY000000288,issued,2014-04-19 17:54:04,NONE,22.0
TKT000000289,BKG000000289,PAY000000289,issued,2013-05-29 19:29:48,NONE,6.0
TKT000000290,BKG000000290,PAY000000290,issued,2014-10-17 19:56:53,NONE,17.0
TKT000000291,BKG000000291,PAY000000291,issued,2013-10-15 11:26:27,NONE,16.0
TKT000000292,BKG000000292,PAY000000292,issued,2014-05-07 19:39:54,NONE,34.0
TKT000000293,BKG000000293,PAY000000293,pending,2014-06-23 17:50:06,TICKETING_TIMEOUT,25.0
TKT000000294,BKG000000294,PAY000000294,issued,2014-05-16 18:01:13,NONE,32.0
TKT000000295,BKG000000295,PAY000000295,issued,2014-12-26 21:40:34,NONE,34.0
TKT000000296,BKG000000296,PAY000000296,issued,2013-09-24 03:11:11,NONE,37.0
TKT000000297,BKG000000297,PAY000000297,issued,2014-07-04 19:12:15,NONE,33.0
TKT000000298,BKG000000298,PAY000000298,issued,2013-04-02 09:46:12,NONE,29.0
TKT000000299,BKG000000299,PAY000000299,issued,2014-01-14 17:01:11,NONE,592.0
TKT000000300,BKG000000300,PAY000000300,issued,2013-07-20 09:33:00,NONE,4.0
TKT000000301,BKG000000301,PAY000000301,pending,2014-12-22 18:39:31,SUPPLIER_ERROR,320.0
TKT000000302,BKG000000302,PAY000000302,issued,2013-04-08 08:17:13,NONE,14.0
TKT000000303,BKG000000303,PAY000000303,issued,2013-03-06 20:41:52,NONE,14.0
TKT000000304,BKG000000304,PAY000000304,issued,2014-02-07 21:45:19,NONE,10.0
TKT000000305,BKG000000305,PAY000000305,issued,2013-11-22 10:07:43,NONE,16.0
TKT000000306,BKG000000306,PAY000000306,issued,2014-12-11 18:35:07,NONE,24.0
TKT000000307,BKG000000307,PAY000000307,issued,2014-12-26 19:57:55,NONE,9.0
TKT000000308,BKG000000308,PAY000000308,issued,2014-08-03 16:22:25,NONE,33.0
TKT000000309,BKG000000309,PAY000000309,issued,2014-06-23 11:44:32,NONE,34.0
