booking_id,customer_id,device,country,route_or_destination,amount,payment_method,payment_status,payment_error_code,ticket_status,ticketing_error_code,ticketing_delay_minutes,refund_requested,refund_status,refund_reason,refund_amount,is_booking,is_payment_success,is_payment_failed,is_ticket_issued,is_ticket_failed,is_refunded,revenue_at_risk
BKG000000014,670060,desktop,32,11853,496.36,credit_card,success,NONE,issued,NONE,10.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000015,842902,desktop,62,8285,583.74,credit_card,success,NONE,issued,NONE,11.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000016,706679,desktop,46,22988,473.58,paypal,success,NONE,issued,NONE,36.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000017,915398,desktop,205,11629,352.63,apple_pay,success,NONE,issued,NONE,35.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000018,1092947,desktop,66,27140,162.61,paypal,success,NONE,issued,NONE,14.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000019,603329,desktop,66,17704,241.72,apple_pay,success,NONE,issued,NONE,15.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000020,336008,desktop,149,19799,646.15,google_pay,success,NONE,issued,NONE,20.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000021,444741,desktop,46,12233,477.09,credit_card,success,NONE,issued,NONE,10.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000022,198148,desktop,66,20207,169.98,credit_card,success,NONE,issued,NONE,629.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000023,4964,desktop,194,11815,328.85,debit_card,success,NONE,issued,NONE,15.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000024,732749,desktop,66,6692,187.46,apple_pay,success,NONE,issued,NONE,45.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000025,367857,desktop,182,8815,195.24,apple_pay,success,NONE,issued,NONE,10.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000026,774974,desktop,46,21149,250.8,bank_transfer,failed,CARD_DECLINED,not_issued_payment_failed,NONE,,,,,0.0,1,0,1,0,1,0,250.8
BKG000000027,1072034,desktop,205,53943,455.18,paypal,success,NONE,issued,NONE,42.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000028,900643,desktop,66,26943,191.81,credit_card,success,NONE,issued,NONE,10.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000029,981328,mobile,66,5405,1520.95,apple_pay,success,NONE,issued,NONE,15.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000030,661840,desktop,66,53943,230.31,debit_card,success,NONE,issued,NONE,36.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000031,883859,desktop,66,18663,309.94,debit_card,success,NONE,issued,NONE,16.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000032,884079,desktop,66,4103,215.85,paypal,failed,INSUFFICIENT_FUNDS,not_issued_payment_failed,NONE,,,,,0.0,1,0,1,0,1,0,215.85
BKG000000033,1161841,desktop,3,8287,1954.13,paypal,success,NONE,issued,NONE,3.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000034,190781,desktop,66,25658,212.17,apple_pay,success,NONE,issued,NONE,12.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000035,578933,desktop,215,27967,207.97,credit_card,success,NONE,issued,NONE,15.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000036,609558,desktop,66,6035,100.76,credit_card,success,NONE,issued,NONE,45.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000037,38600,desktop,66,8267,469.32,credit_card,success,NONE,issued,NONE,27.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000038,575524,desktop,66,11998,408.94,google_pay,success,NONE,issued,NONE,31.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000039,570641,desktop,66,42401,1144.11,apple_pay,success,NONE,issued,NONE,37.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000040,121164,desktop,205,8287,164.6,credit_card,success,NONE,issued,NONE,27.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000041,274256,desktop,66,26846,115.39,credit_card,success,NONE,issued,NONE,4.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000042,274256,desktop,66,26846,91.62,bank_transfer,failed,AUTH_TIMEOUT,not_issued_payment_failed,NONE,,,,,0.0,1,0,1,0,1,0,91.62
BKG000000043,1012407,desktop,1,20116,942.6,bank_transfer,success,NONE,issued,NONE,665.0,True,approved,customer_cancelled,381.8,1,1,0,1,0,1,381.8
BKG000000044,604144,desktop,205,4803,151.02,paypal,success,NONE,pending,SUPPLIER_ERROR,33.0,False,not_requested,not_requested,0.0,1,1,0,0,0,0,0.0
BKG000000045,590867,desktop,3,20863,369.0,credit_card,success,NONE,issued,NONE,38.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000046,874844,desktop,69,23117,448.23,credit_card,success,NONE,issued,NONE,15.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000047,1069920,desktop,66,17563,259.93,bank_transfer,success,NONE,issued,NONE,42.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000048,1104419,desktop,215,12757,611.35,credit_card,success,NONE,issued,NONE,43.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000049,489682,desktop,66,40859,184.79,apple_pay,success,NONE,issued,NONE,30.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000050,418466,desktop,205,11922,163.37,paypal,success,NONE,issued,NONE,30.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000051,250183,desktop,66,12372,249.1,credit_card,success,NONE,issued,NONE,29.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000052,28616,desktop,66,29211,247.83,google_pay,failed,INSUFFICIENT_FUNDS,not_issued_payment_failed,NONE,,,,,0.0,1,0,1,0,1,0,247.83
BKG000000053,401193,desktop,77,20430,181.68,credit_card,success,NONE,issued,NONE,12.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000054,606599,desktop,133,12737,270.73,credit_card,success,NONE,issued,NONE,283.0,True,approved,customer_cancelled,249.45,1,1,0,1,0,1,249.45
BKG000000055,789214,desktop,218,8746,896.74,debit_card,success,NONE,issued,NONE,5.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000056,743575,desktop,80,9066,1533.91,credit_card,success,NONE,failed,AIRLINE_CONFIRMATION_FAILED,18.0,False,not_requested,not_requested,0.0,1,1,0,0,1,0,1533.91
BKG000000057,999757,desktop,167,11815,312.66,credit_card,failed,3DS_FAILED,not_issued_payment_failed,NONE,,,,,0.0,1,0,1,0,1,0,312.66
BKG000000058,503219,desktop,66,7635,254.95,google_pay,success,NONE,issued,NONE,20.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000059,503219,desktop,66,7635,224.41,paypal,success,NONE,issued,NONE,155.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000060,967169,mobile,69,23001,221.84,credit_card,success,NONE,issued,NONE,20.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000061,1053906,desktop,66,12603,108.1,credit_card,success,NONE,issued,NONE,13.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000062,1072891,desktop,66,11835,391.74,apple_pay,success,NONE,issued,NONE,25.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000063,1136235,desktop,92,12576,223.81,bank_transfer,success,NONE,issued,NONE,4.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000064,574121,desktop,205,43944,200.74,credit_card,success,NONE,issued,NONE,43.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000065,272278,desktop,215,8267,1373.51,apple_pay,failed,INSUFFICIENT_FUNDS,not_issued_payment_failed,NONE,,,,,0.0,1,0,1,0,1,0,1373.51
BKG000000066,60391,desktop,205,23196,418.14,apple_pay,success,NONE,issued,NONE,32.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000067,973053,desktop,66,12621,211.03,bank_transfer,success,NONE,issued,NONE,38.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000068,1035921,mobile,66,11353,804.56,google_pay,success,NONE,issued,NONE,10.0,True,rejected,airline_schedule_change,0.0,1,1,0,1,0,1,0.0
BKG000000069,565438,desktop,205,27256,190.8,google_pay,success,NONE,issued,NONE,45.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000070,278350,desktop,66,22881,437.64,paypal,success,NONE,issued,NONE,7.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000071,1056964,desktop,66,8287,342.22,debit_card,success,NONE,issued,NONE,17.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000072,181927,desktop,66,8797,226.4,credit_card,failed,PAYMENT_PROVIDER_ERROR,not_issued_payment_failed,NONE,,,,,0.0,1,0,1,0,1,0,226.4
BKG000000073,727982,desktop,3,40859,190.52,bank_transfer,success,NONE,issued,NONE,4.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000074,1012467,desktop,66,14875,147.23,debit_card,success,NONE,issued,NONE,10.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000075,830287,desktop,66,23682,617.03,credit_card,success,NONE,issued,NONE,11.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000076,1023316,desktop,66,8278,613.96,debit_card,success,NONE,issued,NONE,35.0,True,rejected,airline_schedule_change,0.0,1,1,0,1,0,1,0.0
BKG000000077,815312,desktop,66,8793,443.98,paypal,success,NONE,issued,NONE,11.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000078,898239,desktop,66,8277,265.64,bank_transfer,success,NONE,issued,NONE,45.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000079,195042,desktop,205,12233,2300.45,credit_card,success,NONE,issued,NONE,8.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000080,1130024,desktop,66,50630,327.67,bank_transfer,success,NONE,issued,NONE,17.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000081,4263,desktop,3,8803,145.93,credit_card,success,NONE,issued,NONE,22.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000082,477466,desktop,134,6938,110.43,debit_card,success,NONE,issued,NONE,30.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000083,648811,desktop,215,22117,456.62,debit_card,success,NONE,issued,NONE,44.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000084,107382,desktop,205,11922,547.77,paypal,success,NONE,issued,NONE,19.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000085,565105,desktop,66,8647,2441.66,credit_card,success,NONE,issued,NONE,29.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000086,1171343,desktop,66,49149,265.96,paypal,success,NONE,issued,NONE,19.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000087,367719,desktop,66,8250,1030.47,debit_card,success,NONE,issued,NONE,24.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000088,303276,desktop,205,11986,732.58,credit_card,success,NONE,issued,NONE,27.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000089,627959,desktop,66,12132,183.29,credit_card,success,NONE,issued,NONE,37.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000090,392027,desktop,66,11352,618.13,paypal,success,NONE,issued,NONE,7.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000091,662595,desktop,66,8230,2470.86,debit_card,success,NONE,issued,NONE,19.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000092,388616,desktop,3,20408,144.93,credit_card,success,NONE,issued,NONE,930.0,True,rejected,customer_cancelled,0.0,1,1,0,1,0,1,0.0
BKG000000093,981341,desktop,205,8250,1427.03,bank_transfer,success,NONE,issued,NONE,3.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000094,242071,desktop,1,21238,285.55,debit_card,success,NONE,issued,NONE,21.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000095,418586,desktop,66,12004,354.02,apple_pay,success,NONE,issued,NONE,16.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000096,106895,desktop,66,26227,323.03,credit_card,success,NONE,issued,NONE,26.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000097,711536,desktop,66,26403,250.96,debit_card,success,NONE,issued,NONE,23.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000098,674782,desktop,66,8253,640.18,credit_card,failed,CARD_DECLINED,not_issued_payment_failed,NONE,,,,,0.0,1,0,1,0,1,0,640.18
BKG000000099,186715,desktop,66,11923,473.27,debit_card,success,NONE,issued,NONE,10.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000100,148549,desktop,66,14937,156.96,paypal,success,NONE,issued,NONE,20.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000101,826469,desktop,66,8739,1315.59,apple_pay,success,NONE,issued,NONE,42.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000102,337400,mobile,66,33082,186.37,paypal,success,NONE,issued,NONE,16.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000103,429317,desktop,66,12193,130.61,credit_card,failed,CARD_DECLINED,not_issued_payment_failed,NONE,,,,,0.0,1,0,1,0,1,0,130.61
BKG000000104,639363,desktop,66,18633,193.79,google_pay,success,NONE,issued,NONE,42.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000105,1029885,mobile,154,375,1279.13,credit_card,success,NONE,issued,NONE,27.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000106,768270,desktop,66,19520,570.42,apple_pay,success,NONE,issued,NONE,31.0,True,approved,airline_schedule_change,570.42,1,1,0,1,0,1,570.42
BKG000000107,908851,desktop,66,8250,650.78,credit_card,success,NONE,issued,NONE,319.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000108,936546,desktop,205,27082,294.77,credit_card,success,NONE,issued,NONE,15.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000109,1114220,desktop,66,8267,592.02,paypal,success,NONE,issued,NONE,23.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000110,569192,desktop,182,30787,686.13,credit_card,success,NONE,issued,NONE,14.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000111,653211,desktop,66,25860,499.89,credit_card,success,NONE,pending,TICKETING_TIMEOUT,41.0,False,not_requested,not_requested,0.0,1,1,0,0,0,0,0.0
BKG000000112,4755,desktop,66,11334,234.58,credit_card,success,NONE,issued,NONE,41.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000113,1035543,mobile,66,8250,419.46,credit_card,failed,PAYMENT_PROVIDER_ERROR,not_issued_payment_failed,NONE,,,,,0.0,1,0,1,0,1,0,419.46
BKG000000114,278588,desktop,1,21722,174.55,google_pay,success,NONE,issued,NONE,1131.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000115,214129,mobile,68,7635,918.77,credit_card,success,NONE,issued,NONE,11.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000116,623113,desktop,119,8220,382.26,bank_transfer,success,NONE,issued,NONE,1110.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000117,876921,desktop,66,12206,445.32,paypal,failed,CARD_DECLINED,not_issued_payment_failed,NONE,,,,,0.0,1,0,1,0,1,0,445.32
BKG000000118,1093834,desktop,66,12206,768.13,debit_card,failed,CARD_DECLINED,not_issued_payment_failed,NONE,,,,,0.0,1,0,1,0,1,0,768.13
BKG000000119,615972,desktop,179,18754,416.22,debit_card,success,NONE,issued,NONE,25.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000120,895270,desktop,52,18077,892.62,credit_card,success,NONE,issued,NONE,33.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000121,890850,desktop,66,5270,514.98,credit_card,success,NONE,issued,NONE,30.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000122,930533,desktop,66,11337,712.92,debit_card,success,NONE,issued,NONE,28.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000123,1139154,desktop,66,12235,653.29,debit_card,success,NONE,issued,NONE,20.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000124,930829,desktop,215,389,198.59,credit_card,success,NONE,issued,NONE,23.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000125,331760,desktop,205,25946,224.74,credit_card,success,NONE,issued,NONE,21.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000126,558607,desktop,66,25325,135.37,credit_card,success,NONE,issued,NONE,29.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000127,1138233,desktop,178,12225,223.5,credit_card,success,NONE,issued,NONE,20.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000128,804665,desktop,66,18488,331.72,debit_card,success,NONE,issued,NONE,1122.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000129,278717,desktop,66,8216,432.76,credit_card,success,NONE,issued,NONE,4.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000130,359898,desktop,66,6292,470.09,google_pay,success,NONE,issued,NONE,33.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000131,566353,desktop,205,25935,503.58,google_pay,success,NONE,issued,NONE,4.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000132,503313,desktop,104,8864,386.97,credit_card,success,NONE,issued,NONE,17.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000133,214310,desktop,66,8819,508.95,credit_card,success,NONE,issued,NONE,21.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000134,411048,desktop,66,8864,551.8,credit_card,success,NONE,issued,NONE,27.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000135,1112952,desktop,66,20738,916.65,credit_card,success,NONE,issued,NONE,35.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000136,356743,desktop,46,20839,696.12,debit_card,failed,CARD_DECLINED,not_issued_payment_failed,NONE,,,,,0.0,1,0,1,0,1,0,696.12
BKG000000137,605295,desktop,66,8291,887.45,debit_card,success,NONE,issued,NONE,33.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000138,696331,desktop,66,468,294.37,apple_pay,success,NONE,issued,NONE,41.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000139,945045,desktop,66,4454,564.17,debit_card,success,NONE,issued,NONE,45.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000140,233256,desktop,3,22683,130.66,paypal,success,NONE,issued,NONE,25.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000141,699969,desktop,3,8745,365.79,bank_transfer,success,NONE,issued,NONE,6.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000142,1070555,desktop,66,12190,173.93,apple_pay,success,NONE,issued,NONE,12.0,True,rejected,airline_schedule_change,0.0,1,1,0,1,0,1,0.0
BKG000000143,32617,desktop,69,45327,245.48,credit_card,success,NONE,issued,NONE,20.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000144,105725,desktop,66,12227,2258.87,debit_card,success,NONE,issued,NONE,28.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000145,766347,desktop,66,8843,146.01,bank_transfer,success,NONE,issued,NONE,3.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000146,253645,desktop,194,23436,125.59,bank_transfer,success,NONE,issued,NONE,42.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000147,965554,desktop,195,8213,980.64,credit_card,success,NONE,issued,NONE,11.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000148,623580,desktop,66,12826,686.39,apple_pay,success,NONE,issued,NONE,21.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000149,1176672,desktop,3,12598,744.54,debit_card,success,NONE,issued,NONE,482.0,True,approved,ticketing_failure,744.54,1,1,0,1,0,1,744.54
BKG000000150,598469,desktop,205,8811,296.46,credit_card,success,NONE,pending,INVENTORY_MISMATCH,40.0,False,not_requested,not_requested,0.0,1,1,0,0,0,0,0.0
BKG000000151,156758,desktop,66,45093,1855.67,google_pay,success,NONE,issued,NONE,8.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000152,1078696,desktop,66,8837,91.39,debit_card,success,NONE,issued,NONE,4.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000153,556881,desktop,66,12153,270.63,paypal,success,NONE,issued,NONE,14.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000154,1052510,desktop,205,8223,968.22,debit_card,success,NONE,issued,NONE,1287.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000155,805468,desktop,66,5694,917.13,credit_card,success,NONE,issued,NONE,6.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000156,540356,desktop,66,27494,719.49,paypal,success,NONE,issued,NONE,23.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000157,1052013,desktop,205,25814,410.29,paypal,success,NONE,issued,NONE,15.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000158,887627,desktop,66,23507,236.79,debit_card,success,NONE,issued,NONE,832.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000159,946036,desktop,69,12051,434.64,credit_card,success,NONE,issued,NONE,6.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000160,1070285,desktop,195,8256,698.25,credit_card,success,NONE,issued,NONE,11.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000161,754948,desktop,66,8267,197.87,apple_pay,success,NONE,issued,NONE,17.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000162,324898,desktop,205,8250,451.81,paypal,success,NONE,issued,NONE,5.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000163,835478,desktop,66,263,188.26,credit_card,success,NONE,issued,NONE,4.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000164,889304,desktop,66,8810,2435.57,credit_card,success,NONE,issued,NONE,23.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000165,1197187,desktop,3,8267,973.25,google_pay,success,NONE,issued,NONE,30.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000166,1001739,desktop,205,8288,154.88,credit_card,success,NONE,issued,NONE,485.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000167,42099,desktop,66,8262,330.82,credit_card,success,NONE,issued,NONE,27.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000168,1041578,desktop,68,8268,580.7,credit_card,success,NONE,issued,NONE,5.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000169,1174323,desktop,1,8806,154.15,debit_card,success,NONE,issued,NONE,975.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000170,913184,desktop,66,45463,876.54,paypal,success,NONE,issued,NONE,41.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000171,42693,desktop,66,8743,348.66,credit_card,success,NONE,issued,NONE,27.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000172,939084,mobile,66,16235,1013.66,credit_card,success,NONE,issued,NONE,44.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000173,296154,mobile,205,52980,109.85,credit_card,success,NONE,issued,NONE,21.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000174,1178614,desktop,182,11439,1284.74,credit_card,success,NONE,issued,NONE,14.0,True,approved,airline_schedule_change,1284.74,1,1,0,1,0,1,1284.74
BKG000000175,1099846,desktop,66,26499,331.77,paypal,success,NONE,issued,NONE,34.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
